,problem,solver,status,sanity_sat,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,slots:u,topdown-retiring:u,topdown-bad-spec:u,topdown-fe-bound:u,topdown-be-bound:u,elapsed,user,sys
52,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2007.corecstrs.readable,z3noodler,Success,sat,15.24,0,0,2727,36482823,71339658,15069158,144667,182343055,72083179,17154793,60858519,33574974,0.016511239,0.010129000,0.005524000
53,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1568.corecstrs.readable,ostrich,Success,sat,2797.47,0,0,29763,8839515163,10222674009,2024909741,60724410,39305057020,6936712616,22104332511,8988660271,8396685365,1.006743437,2.513086000,0.309651000
54,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1909.corecstrs.readable,z3alpha,Success,sat,46.25,0,0,6015,124969464,228296758,49925634,952771,624847300,205679586,142533930,196818166,93131302,0.054159038,0.035538000,0.011199000
55,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1633.corecstrs.readable,z3alpha,Success,sat,46.82,0,0,6022,123979742,228341910,49933594,960426,619732810,205108547,141631826,194332632,91350249,0.055370112,0.035761000,0.011435000
56,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1556.corecstrs.readable,z3alpha,Success,sat,47.85,0,0,6024,128494822,228638169,50011028,953486,641930315,206355417,141271383,199585173,108718744,0.066176177,0.034821000,0.013620000
57,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1574.corecstrs.readable,ostrich,Success,sat,2901.31,0,0,30256,8888684376,10338572378,2052688436,60977616,39764522155,7382046211,21399078948,9327108075,8956593419,0.981316498,2.602401000,0.329824000
58,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2008.corecstrs.readable,cvc5,Success,sat,3.08,0,0,555,6564973,8039988,1640125,50620,32824845,7880219,4505370,17405861,3117399,0.004095497,0.002305000,0.001151000
59,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1574.corecstrs.readable,cvc5,Success,sat,3.37,0,0,574,7544873,9800128,1964802,56486,37724345,9616009,5029912,19823773,3254649,0.004225551,0.002795000,0.000933000
60,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1566.corecstrs.readable,z3alpha,Success,sat,47.26,0,0,6055,127421297,228512585,49971887,951308,637106465,206680698,143304869,198309892,101999283,0.054930673,0.036281000,0.011344000
61,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1885.corecstrs.readable,ostrich,Success,sat,2467.39,0,0,30145,7426965834,10090070017,1963457235,60440296,35768015405,6926105080,21545903979,8585775576,5765624054,0.981876134,2.242943000,0.261017000
